"InitiatedBy","SessionName","SessionStartTime","ItemName","ItemSize","SourceName","LogEntryID","LogDetail","LogItemCreationTime","LogItemEndTime","SessionStatus","SessionResult","ProcessedObjects"
"USDEMO\Ben.Miller","Exchange restore (Job: Office 365 Suite to Blob - 6/28/2020 6:11:14 PM)","6/29/2020 11:48:28 AM","The new House Lannister - Teams group is ready","34148","House Lannister - Teams\Inbox","1","Item The new House Lannister - Teams group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: House Lannister - Teams\Inbox; target: House Lannister - Teams\Inbox)","6/29/2020 11:51:52 AM","6/29/2020 11:51:52 AM","Stopped","Success","1"
"USDEMO\brett.rauber","Exchange restore (Job: Office 365 Suite to Blob - 6/24/2020 6:11:17 PM)","6/25/2020 12:50:28 PM","Jon Snow shared ""Early Life"" with you.","121441","Arya Stark\Inbox","2","Item Jon Snow shared ""Early Life"" with you. was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","6/25/2020 12:53:07 PM","6/25/2020 12:53:07 PM","Stopped","Success","2"
"USDEMO\robert.vonmehren","Exchange restore (Entire organization - 4/12/2020 6:11:08 PM)","6/25/2020 11:20:57 AM","Untitled","19373","House Lannister - Teams\Conversation History\Team Chat","2","Item Untitled was opened successfully (type: IPM.SkypeTeams.Message; source: House Lannister - Teams\Conversation History\Team Chat; target: House Lannister - Teams\Conversation History\Team Chat)","6/25/2020 11:23:40 AM","6/25/2020 11:23:40 AM","Stopped","Success","2"
"USDEMO\Dave.Byers","Exchange restore (Job: Exchange 2016 to OnPrem - 6/22/2020 6:02:03 PM)","6/23/2020 4:23:20 PM","Your mailbox is full","14284","Dave Byers\Inbox","1","Item Your mailbox is full was opened successfully (type: IPM.Note.StorageQuotaWarning.SendReceive; source: Dave Byers\Inbox; target: Dave Byers\Inbox)","6/23/2020 4:26:04 PM","6/23/2020 4:26:04 PM","Stopped","Success","3"
"USDEMO\Dave.Byers","Exchange restore (Job: Exchange 2016 to OnPrem - 6/22/2020 6:02:03 PM)","6/23/2020 4:23:20 PM","Your mailbox is full","14284","Dave Byers\Inbox","2","Item Your mailbox is full was opened successfully (type: IPM.Note.StorageQuotaWarning.SendReceive; source: Dave Byers\Inbox; target: Dave Byers\Inbox)","6/23/2020 4:27:04 PM","6/23/2020 4:27:04 PM","Stopped","Success","3"
"USDEMO\Dave.Byers","Exchange restore (Job: Exchange 2016 to OnPrem - 6/22/2020 6:02:03 PM)","6/23/2020 4:23:20 PM","Your mailbox is full","14284","Dave Byers\Inbox","3","Item Your mailbox is full was opened successfully (type: IPM.Note.StorageQuotaWarning.SendReceive; source: Dave Byers\Inbox; target: Dave Byers\Inbox)","6/23/2020 4:29:19 PM","6/23/2020 4:29:19 PM","Stopped","Success","3"
"USDEMO\Dave.Byers","Exchange restore (Job: Exchange 2016 to OnPrem - 6/1/2020 6:01:56 PM)","6/23/2020 1:52:51 PM","[Success] Backup Configuration Job (1 machines) ","18702","Dave Byers\Inbox","1","Item [Success] Backup Configuration Job (1 machines)  was opened successfully (type: IPM.Note; source: Dave Byers\Inbox; target: Dave Byers\Inbox)","6/23/2020 1:55:22 PM","6/23/2020 1:55:22 PM","Stopped","Success","4"
"USDEMO\Dave.Byers","Exchange restore (Job: Exchange 2016 to OnPrem - 6/1/2020 6:01:56 PM)","6/23/2020 1:52:51 PM","Your mailbox is full","14284","Dave Byers\Inbox","2","Item Your mailbox is full was opened successfully (type: IPM.Note.StorageQuotaWarning.SendReceive; source: Dave Byers\Inbox; target: Dave Byers\Inbox)","6/23/2020 1:59:54 PM","6/23/2020 1:59:54 PM","Stopped","Success","4"
"USDEMO\Dave.Byers","Exchange restore (Job: Exchange 2016 to OnPrem - 6/1/2020 6:01:56 PM)","6/23/2020 1:52:51 PM","Your mailbox is full","14284","Dave Byers\Inbox","3","Item Your mailbox is full was opened successfully (type: IPM.Note.StorageQuotaWarning.SendReceive; source: Dave Byers\Inbox; target: Dave Byers\Inbox)","6/23/2020 2:00:54 PM","6/23/2020 2:00:54 PM","Stopped","Success","4"
"USDEMO\Dave.Byers","Exchange restore (Job: Exchange 2016 to OnPrem - 6/1/2020 6:01:56 PM)","6/23/2020 1:52:51 PM","Your mailbox is full","14284","Dave Byers\Inbox","4","Item Your mailbox is full was opened successfully (type: IPM.Note.StorageQuotaWarning.SendReceive; source: Dave Byers\Inbox; target: Dave Byers\Inbox)","6/23/2020 2:01:10 PM","6/23/2020 2:01:10 PM","Stopped","Success","4"
"USDEMO\esteve.nobime","Exchange restore (Job: Office 365 Suite to Blob - 6/22/2020 6:11:14 PM)","6/23/2020 9:53:35 AM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","6/23/2020 9:54:35 AM","6/23/2020 9:54:35 AM","Stopped","Success","1"
"USDEMO\andy.perkins","Exchange restore (Entire organization - 6/19/2020 3:28:55 PM)","6/19/2020 3:29:32 PM","Jon Snow shared ""Early Life"" with you.","121441","Arya Stark\Inbox","1","Item Jon Snow shared ""Early Life"" with you. was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","6/19/2020 3:30:31 PM","6/19/2020 3:30:31 PM","Stopped","Success","4"
