BackupJob,VMName,Timestamp,BackupSize(GB),DataSize(GB)
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 5:00,0.03,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 9:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 5:00,0.02,0.02
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 8:00,0.27,0.66
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 0:00,0.26,0.64
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 4:00,0.28,0.69
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 16:00,0.03,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 5:00,0.29,0.64
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/4/2019 7:00,0.05,0.1
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 10:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 9:00,0.06,0.1
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,7/17/2019 14:39,0,0
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 18:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/23/2019 0:00,0.1,0.28
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 11:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 17:00,0.59,1.32
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 12:00,0.05,0.09
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 3:00,0.04,0.07
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/3/2019 23:00,0.04,0.06
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/2/2019 8:00,0.02,0.01
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,6/23/2019 0:00,1.19,5.34
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,5/14/2019 15:05,0.83,20
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,5/17/2019 9:28,0.83,20
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,5/14/2019 15:14,0.02,0
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,5/17/2019 9:28,6.97,40
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,8/25/2019 17:41,0.16,0.28
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,8/25/2019 17:41,1.2,5.04
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,5/14/2019 15:14,0.03,0.03
VMware - Win/Linux -> Azure Blob,ATLOSECENTRAL-LinuxAgent; ATLOSECENTRAL-WinAgent,5/14/2019 15:05,7.02,40
VMware - Win/Linux - SOBR,ATLOSECENTRAL-LinuxAgent,9/4/2019 2:00,0.04,0.05
VMware - Win/Linux - SOBR,ATLOSECENTRAL-WinAgent,9/1/2019 2:00,0.15,0.58
VMware - Win/Linux - SOBR,ATLOSECENTRAL-WinAgent,9/5/2019 2:00,0.16,0.6
VMware - Win/Linux - SOBR,ATLOSECENTRAL-WinAgent,9/6/2019 2:00,0.28,1.04
VMware - Win/Linux - SOBR,ATLOSECENTRAL-WinAgent,9/4/2019 2:00,0.28,1.03
VMware - Win/Linux - SOBR,ATLOSECENTRAL-LinuxAgent,9/2/2019 2:00,0.04,0.06
VMware - Win/Linux - SOBR,ATLOSECENTRAL-LinuxAgent,9/3/2019 2:00,0.04,0.06
VMware - Win/Linux - SOBR,ATLOSECENTRAL-WinAgent,9/3/2019 2:00,0.15,0.6
VMware - Win/Linux - SOBR,ATLOSECENTRAL-WinAgent,8/31/2019 2:00,6.96,40
VMware - Win/Linux - SOBR,ATLOSECENTRAL-LinuxAgent,9/6/2019 2:00,0.04,0.06
VMware - Win/Linux - SOBR,ATLOSECENTRAL-LinuxAgent,9/5/2019 2:00,0.04,0.06
VMware - Win/Linux - SOBR,ATLOSECENTRAL-LinuxAgent,8/31/2019 2:00,0.83,20
VMware - Win/Linux - SOBR,ATLOSECENTRAL-LinuxAgent,9/1/2019 2:00,0.04,0.06
VMware - Win/Linux - SOBR,ATLOSECENTRAL-WinAgent,9/2/2019 2:00,0.28,2.03
VMware - Veeam Explorers,ATLDEMODC01,9/2/2019 2:00,0.86,2.08
VMware - Veeam Explorers,ATLDEMODC01,9/1/2019 2:00,0.76,2.47
VMware - Veeam Explorers,ATLSRP2016,9/3/2019 2:00,5.96,11.28
VMware - Veeam Explorers,ATLEXCH2016,9/4/2019 2:00,5.08,24.07
VMware - Veeam Explorers,ATLEXCH2016,8/31/2019 2:00,27.67,120
VMware - Veeam Explorers,ATLEXCH2016,9/2/2019 2:00,4.92,23.82
VMware - Veeam Explorers,ATLSRP2016,8/31/2019 2:00,17.05,40
VMware - Veeam Explorers,ATLEXCH2016,9/1/2019 2:00,4.94,23.79
VMware - Veeam Explorers,ATLSRP2016,9/6/2019 2:00,5.52,9.75
VMware - Veeam Explorers,ATLSRP2016,9/4/2019 2:00,5.24,9.25
VMware - Veeam Explorers,ATLSRP2016,9/5/2019 2:00,5.12,9.03
VMware - Veeam Explorers,ATLSRP2016,9/2/2019 2:00,5.4,9.73
VMware - Veeam Explorers,ATLSRP2016,9/1/2019 2:00,5.33,10.44
VMware - Veeam Explorers,ATLDEMODC01,9/4/2019 2:00,0.74,2.04
VMware - Veeam Explorers,ATLDEMODC01,9/5/2019 2:00,0.99,2.34
VMware - Veeam Explorers,ATLDEMODC01,9/6/2019 2:00,0.78,2.18
VMware - Veeam Explorers,ATLDEMODC01,9/3/2019 2:00,0.95,2.35
VMware - Veeam Explorers,ATLEXCH2016,9/3/2019 2:00,5.07,24.31
VMware - Veeam Explorers,ATLEXCH2016,9/6/2019 2:00,5.09,24.94
VMware - Veeam Explorers,ATLEXCH2016,9/5/2019 2:00,4.93,23.9
VMware - Veeam Explorers,ATLDEMODC01,8/31/2019 2:00,12.11,40
VMware - Linux VMs,ATLISEEAST-LinuxAgent,8/27/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLOSEEAST-LinuxAgent,8/29/2019 2:00,0.04,0.06
VMware - Linux VMs,ATLISECENTRAL-LinuxAgent,8/24/2019 2:00,2.93,20
VMware - Linux VMs,ATLOSELATAM-LinuxAgent,8/29/2019 2:00,0.04,0.05
VMware - Linux VMs,ATLISEWEST-LinuxAgent,8/27/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLISEWEST-LinuxAgent,8/26/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLOSEEAST-LinuxAgent,8/25/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLOSECENTRAL-LinuxAgent,8/30/2019 9:37,0.05,0.07
VMware - Linux VMs,ATLISECENTRAL-LinuxAgent,8/25/2019 2:00,0.08,0.16
VMware - Linux VMs,ATLISEEAST-LinuxAgent,8/26/2019 2:00,0.05,0.07
VMware - Linux VMs,ATLISECENTRAL-LinuxAgent,8/27/2019 2:00,0.08,0.17
